# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1400
#@/user_id	iarch
lei si 	类似	c=1 d=0.0972961 t=1400
li hao 	利好	c=1 d=0.00115345 t=1400
li hao 	黎浩	c=1 d=0.0149208 t=1400
li ji 	立即	c=1 d=0.00431784 t=1400
li shi 	历史	c=1 d=0.0958471 t=1400
li te 	力特	c=1 d=0.0150707 t=1400
li yong 	利用	c=1 d=0.00390694 t=1400
lian jie 	链接	c=2 d=1.17568 t=1400
liang 	两	c=1 d=0.0800583 t=1400
liang ban 	两班	c=1 d=0.0253494 t=1400
liang ge 	两个	c=1 d=0.0232838 t=1400
liang pian 	两篇	c=1 d=0.075774 t=1400
liang zhe 	两者	c=1 d=0.0911725 t=1400
liang zhong 	两种	c=1 d=0.0898157 t=1400
liao 	聊	c=1 d=0.0175424 t=1400
liao jie 	了解	c=1 d=0.113042 t=1400
liao sheng yu wu 	聊胜于无	c=1 d=0.103312 t=1400
ling 	令	c=1 d=0.139456 t=1400
ling dao 	领导	c=1 d=0.557106 t=1400
ling jian 	零件	c=0 d=0.000219846 t=1400
ling lei 	另类	c=1 d=0.0816756 t=1400
ling qu 	领取	c=1 d=0.491645 t=1400
ling sai la 	令赛啦	c=1 d=0.677057 t=1400
liu ri 	六日	c=1 d=0.00744658 t=1400
liu zuo 	留做	c=1 d=0.810584 t=1400
lu 	卢	c=2 d=0.00871711 t=1400
lu bian 	路边	c=1 d=0.0151462 t=1400
lu chang hai 	卢昌海	c=1 d=0.00588705 t=1400
lu kou 	路口	c=2 d=0.527313 t=1400
lv hua 	绿化	c=2 d=0.0325729 t=1400
lv ke 	旅客	c=3 d=0.114308 t=1400
ma 	吗	c=3 d=0.00477566 t=1400
ma 	码	c=1 d=0.0179529 t=1400
ma bo yong 	马伯庸	c=3 d=0.349576 t=1400
ma jia 	马甲	c=2 d=0.0787265 t=1400
mai 	买	c=3 d=0.0403987 t=1400
man 	慢	c=1 d=0.687289 t=1400
man man 	慢慢	c=2 d=0.819166 t=1400
man man 	满满	c=1 d=0.0209629 t=1400
mei guan xi 	没关系	c=1 d=0.226503 t=1400
mei tian 	每天	c=1 d=0.305746 t=1400
mei you 	没有	c=3 d=0.89011 t=1400
men 	们	c=1 d=0.0350844 t=1400
men 	门	c=1 d=0.0403566 t=1400
mian 	面	c=1 d=0.0507928 t=1400
miao 	秒	c=1 d=0.0116203 t=1400
min 	敏	c=1 d=0.00831244 t=1400
min zu 	民族	c=1 d=0.0492182 t=1400
min zu wu 	民族舞	c=1 d=0.0441572 t=1400
ming 	名	c=1 d=0.847894 t=1400
ming chao 	明朝	c=0 d=0.0130028 t=1400
ming chao mo nian 	明朝末年	c=1 d=0.13068 t=1400
ming liang 	明亮	c=1 d=0.0018363 t=1400
ming ling 	命令	c=2 d=1.66821 t=1400
ming tian 	明天	c=1 d=0.00304273 t=1400
ming zi 	名字	c=1 d=0.423162 t=1400
mo 	末	c=1 d=0.119433 t=1400
mo 	魔	c=1 d=0.118837 t=1400
mo hu 	模糊	c=1 d=0.918512 t=1400
mo nian 	末年	c=0 d=0.0130028 t=1400
mu ban 	模板	c=1 d=0.173774 t=1400
mu lu 	目录	c=1 d=0.00711473 t=1400
mu you 	木有	c=1 d=0.0262524 t=1400
na 	那	c=4 d=0.48982 t=1400
na bian 	那边	c=1 d=0.0138426 t=1400
na me 	那么	c=3 d=0.802527 t=1400
na me jiu 	那么久	c=1 d=0.0166557 t=1400
na n 	那嗯	c=1 d=0.0141931 t=1400
na shi 	那是	c=1 d=0.640824 t=1400
na zhang 	那张	c=1 d=0.465334 t=1400
ne 	呢	c=2 d=1.2754 t=1400
nei rong 	内容	c=1 d=0.29671 t=1400
neng 	能	c=1 d=0.00355287 t=1400
ni 	你	c=23 d=1.65437 t=1400
nian 	年	c=5 d=0.498768 t=1400
nian di 	年底	c=1 d=0.0123389 t=1400
ning yuan 	宁愿	c=1 d=0.0218184 t=1400
nv ren 	女人	c=1 d=0.0235178 t=1400
pai 	排	c=0 d=0.000173803 t=1400
pai chu 	排除	c=1 d=0.0483156 t=1400
pai ge zhao 	拍个照	c=1 d=0.0031042 t=1400
pao 	跑	c=0 d=0.00211736 t=1400
pao guo qu 	跑过去	c=1 d=0.0212797 t=1400
pei zhi 	配置	c=10 d=4.56928 t=1400
pei zi 	陪子	c=1 d=0.726149 t=1400
pi fu 	皮肤	c=4 d=1.37857 t=1400
pian 	篇	c=1 d=0.571209 t=1400
pian duo 	偏多	c=1 d=0.0689068 t=1400
pian fu 	篇幅	c=1 d=0.0746459 t=1400
pian yuan 	偏远	c=1 d=0.0267827 t=1400
piao 	票	c=2 d=0.0265434 t=1400
ping an 	平安	c=2 d=0.0360239 t=1400
qi chuang 	起床	c=4 d=0.91305 t=1400
qi dong 	启动	c=1 d=0.683861 t=1400
qi lai 	起来	c=1 d=0.261846 t=1400
qi shi 	其实	c=1 d=0.373439 t=1400
qian 	前	c=1 d=0.0753961 t=1400
qian she 	牵涉	c=2 d=0.296165 t=1400
qie huan 	切换	c=4 d=2.47917 t=1400
qin wang 	亲王	c=1 d=0.071719 t=1400
qing 	青	c=1 d=0.117655 t=1400
qing kuang 	情况	c=1 d=0.0359725 t=1400
